commit	val_bpb	memory_gb	status	description
baseline	0.997900	44.0	keep	baseline
bea057b	0.986041	43.9	keep	halve batch 524K to 262K (more steps in 5 min)
7f2a65c	0.981773	60.2	keep	depth 9 aspect_ratio 57 (extra layer dim ~512)
187e419	0.982603	60.2	discard	add 5% warmup
4e6697f	0.981201	60.2	keep	warmdown 0.5 to 0.7
8363d52	0.980903	60.2	keep	SSSSL window pattern (5:1 short:long)
7da0b67	0.979969	60.2	keep	short window 1/8 context (256 tokens)
59e9dd9	0.978784	60.2	keep	RoPE base frequency 10K to 200K
7d047e4	0.975524	60.2	keep	embedding LR 0.6 to 0.8
c4ce95c	0.975895	60.2	discard	unembedding LR 0.004 to 0.008
0640555	0.974729	60.2	keep	x0_lambda init 0.1 to 0.05
772dada	0.974119	60.2	keep	FINAL_LR_FRAC 0.0 to 0.05
ccf6012	0.974903	60.2	discard	matrix LR 0.04 to 0.045
aa8f408	0.973104	60.2	keep	unembedding LR 0.004 to 0.006
889dbed	0.973799	60.2	discard	random seed 42 to 137
e05a87d	0.000000	0.0	crash	batch 131K (assert fail: not divisible by device batch)
0dc6130	0.974134	60.2	discard	embedding LR 0.8 to 1.0
fa14910	0.973824	60.2	discard	softcap 15 to 20
187db84	0.973659	60.2	discard	warmdown 0.7 to 0.8
3ec9cfa	0.979340	53.7	discard	depth 10 aspect 51 dim 512 (too narrow)
2913af9	0.973177	60.2	discard	weight decay 0.2 to 0.15
a7aa309	0.972849	60.2	keep	muon momentum warmup 300 to 200 steps
6b6b241	0.973385	60.2	discard	VE gate channels 32 to 48
77d7a47	0.973121	60.2	discard	scalar LR 0.5 to 0.3
d6cad11	0.973130	60.2	discard	Adam beta1 0.8 to 0.85
b19f649	0.978313	60.2	discard	remove cautious WD mask (much worse)
9aa1e29	0.974490	60.2	discard	FINAL_LR_FRAC 0.05 to 0.1
aa61e0b	0.973658	60.2	discard	gradient clipping max_norm=1.0
31b838e	0.973706	60.2	discard	Muon ns_steps 5 to 4
ebff004	0.973076	60.2	discard	LR scale reference 768 to 640
d3c7143	0.973339	60.2	discard	muon final momentum 0.95 to 0.96
a6b2ac7	0.973119	60.2	discard	Muon beta2 0.95 to 0.90
6b59591	0.972821	60.2	discard	VE gate scale 2 to 3 (flat)
d41c1df	0.976114	60.2	discard	resid lambda init 1.0 to 0.9
97aa364	0.973828	60.2	discard	matrix LR 0.04 to 0.035
5db6ed4	0.979735	59.5	discard	VE only last 3 layers (much worse)
8189d27	0.973894	60.2	discard	embedding LR 0.8 to 0.9
7f63c17	0.972779	60.2	keep	unembedding LR 0.006 to 0.005
d0662d1	0.974038	60.2	discard	RoPE base 200K to 400K
d3840ec	0.974356	60.2	discard	constant WD at 0.1 (decaying better)
264a05b	0.972694	60.2	keep	add WD 0.01 to lm_head
7d3f0e4	0.972847	60.2	discard	softcap 15 to 13
00a7c09	0.979754	72.6	discard	depth 11 dim 640 (too big, too few steps)
674a510	0.975033	60.2	discard	add WD 0.01 to embeddings (hurts)
b1f02f7	0.975328	60.2	discard	add 2% warmup (any warmup hurts)
81261f5	0.973469	60.2	discard	halve value embedding LR
51f0499	0.972844	60.2	discard	x0_lambda beta1 0.96 to 0.90
de48b64	0.974912	60.2	discard	SSSL pattern (more long layers hurt steps)
01a3c69	0.973105	60.2	discard	FINAL_LR_FRAC 0.05 to 0.02
86c7e66	0.974639	60.2	discard	lm_head init std 0.001 to 0.01
489bb99	0.976462	60.2	discard	x0_lambda init 0.0 (x0 skip important)
a16391b	0.973059	60.2	discard	rotary precompute 10x to 2x
8dd93ec	0.972712	60.2	discard	VE LR 1.5x (flat)
802d184	0.974123	60.2	discard	embedding init std 1.0 to 2.0
2b9a688	0.974331	60.2	discard	sqrt WD schedule
ffcb3c2	0.972982	60.2	discard	muon start momentum 0.85 to 0.80
3cde993	0.974655	66.2	discard	depth 10 same dim 640 (too few steps)
8be9036	0.975285	53.9	discard	depth 8 dim 640 (too shallow)
2271cc2	0.974190	60.2	discard	WD follows LR schedule
46cf5f2	0.983719	54.6	discard	parallel attn+MLP (much worse)
59316b9	0.973312	60.2	discard	warmdown 0.7 to 0.65
c4b0731	0.973803	57.4	discard	MLP hidden 4x to 3.5x
6193116	0.973173	60.2	discard	RoPE base 200K to 150K
c1f79a6	0.973005	60.2	discard	FINAL_LR_FRAC 0.05 to 0.03
ee60bf7	0.976203	60.2	discard	SSSSSL pattern (too few long layers)
a7b953a	0.973088	60.2	discard	lm_head WD 0.01 to 0.05
41d50a8	0.972258	60.2	keep	reduce transformer init scale by 0.8x
991abb2	0.972721	60.2	discard	init scale 0.6x (0.8 better)
